ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
1,0,3,0.0776941848347581,-0.0066882404043002,-0.0458275102116857,-0.0172655075327273
2,0,3,0.0171345966666548,-0.00292385785640361,-0.218377964667185,0.134535849529797
3,0,3,-0.055565992008776,0.00506705564021771,0.0861343118932704,0.00180995501727904
4,0,3,0.0587844464089045,-0.00760280106785457,0.00180626698549022,-0.0582957231287893
5,0,3,0.032119367406035,-0.00313834295694541,0.0123727905393426,-0.0824981452556189
6,0,3,-0.151517113079401,0.0138704918098949,0.135248768377914,0.0683958847948617
7,0,3,0.118707089124206,-0.0123639614370842,0.203200999777238,-0.282175935140679
8,0,3,-0.0117402161934097,-6.41076631759976e-06,0.0126461214236695,0.0995209528777223
9,0,3,0.0324916296507996,-0.00435913441231779,0.141598100935975,-0.210988468174062
10,0,3,0.0790196892245779,-0.0072247770011026,-0.151255214382524,0.0358068345944363
11,0,3,0.0130818015243825,-0.00253264960042554,0.166739096836955,-0.23295973445228
12,0,3,0.100901414441642,-0.0112018222981846,0.0208914648147682,-0.164571762937973
1,1,3,0.0166093024035614,-0.00208719087061653,-0.237106761167772,0.143745390627297
2,1,3,0.166246852958979,-0.0129316369974698,-0.266206479446509,-0.135109566559285
3,1,3,-0.177826974417061,0.0130877287375752,0.0549231800445043,0.254022491519511
4,1,3,0.371636365160055,-0.0491266999602079,0.478268787499953,-0.684293469719274
5,1,3,-0.328292785152892,0.0300622054268054,0.151847245887037,0.292458185257892
6,1,3,-0.346262326934365,0.029678005965755,0.249534058437127,0.262718003915574
7,1,3,-0.112723231183322,0.00985797655602172,0.0174583704315316,0.0945342832486113
8,1,3,-0.179708445733957,0.0178847465631956,0.139752562570882,0.100884176929165
9,1,3,-0.000929404825848098,0.000860783124671851,-0.00393495285274699,0.0106637380083514
10,1,3,0.0657560181478813,-0.00651532948293772,-0.140171923359977,0.0647624105777481
11,1,3,0.227124285116235,-0.023808613793532,0.179646767232116,-0.326854535944976
12,1,3,0.145604874429915,-0.0183258751151605,0.30168842595265,-0.437993869454955
1,2,3,0.0162240743504059,-0.00310890154483217,-0.18681278676213,0.190215585206516
2,2,3,-0.0223812281055502,0.00131780738081882,0.218703606358315,-0.148887374686749
3,2,3,-0.140749005505456,0.0106727537817563,0.0111748513113093,0.174073831804356
4,2,3,-0.13000851619059,0.0165268932603626,0.120126212708958,0.0418431422454915
5,2,3,-0.26696606443203,0.0227460489537417,0.117842913500005,0.220241152101672
6,2,3,0.35022226069238,-0.0285857995603879,-0.63390916746858,-0.224707563961977
7,2,3,0.387825261622181,-0.0439502128784784,0.408236095680895,-0.59840913474545
8,2,3,0.225255215718663,-0.0271177362527639,0.233670758233747,-0.391206515392713
9,2,3,0.239582339701405,-0.0291983627944385,0.335807674293915,-0.497156753044332
10,2,3,0.297152121135855,-0.0329967336935993,0.295499974896956,-0.462415034484508
11,2,3,0.0818626630383158,-0.00844118775228318,0.0260655888293712,-0.164205515636479
12,2,3,0.169387175799312,-0.0196474509466198,0.149352006974462,-0.292081397970307
1,3,3,0.105171923046954,-0.00827913279740062,-0.328362129306372,0.0171980024539867
2,3,3,0.335036462465347,-0.040683074028544,0.462511062217262,-0.650335762675347
3,3,3,-0.409782768366689,0.0377723503534308,0.269566970162313,0.387711639157927
4,3,3,0.0429089751225682,-0.00458276047821499,-0.118762109392385,0.0838997014970691
5,3,3,-0.0448637289086659,0.0022840286435191,0.0247099254341867,0.1280856398991
6,3,3,-0.262226485142505,0.0201024695406605,0.184201371419783,0.279576950642583
7,3,3,0.0679616361757275,-0.00728954693976129,-0.19798253664544,0.0680971126183657
8,3,3,0.0217779044107598,-0.00228548246330321,-0.127789030369074,0.129979890222732
9,3,3,-0.053374427740677,0.0044007393639775,0.0880812729179657,-0.0627939567242396
10,3,3,0.308553256316421,-0.0389137071490765,0.372704182017452,-0.560173389325805
11,3,3,0.224852477334254,-0.0270179125936932,0.266185436920114,-0.430968070755599
12,3,3,0.24698315132735,-0.0270079335736043,0.21793857818042,-0.374977092862521
1,4,3,0.596176238176841,-0.0887525616472961,0.682381527557782,-1.0053426981815
2,4,3,0.2838085431617,-0.0368484505423453,0.489943409033509,-0.631221404782514
3,4,3,0.232161870385942,-0.0232274491095473,0.11382257862573,-0.383893612567493
4,4,3,0.0253914916737799,-0.0024308317406331,0.00722342920202237,-0.0611480106183733
5,4,3,0.0186432321000994,-0.00184521869318981,0.00831643586905945,-0.0585263884117111
6,4,3,0.146390852086313,-0.0159285978937674,0.177207814705928,-0.311777377391341
7,4,3,-0.106944999692509,0.010932765515559,0.0198927355579021,0.11516757068754
8,4,3,0.0865558548174556,-0.0102492052812031,0.0137225227610407,-0.131850006685779
9,4,3,0.126956660787421,-0.0138851732337005,0.146156652826597,-0.308330861166714
10,4,3,-0.11179045077963,0.00957814711844259,0.0226987055900747,0.113263470216279
11,4,3,0.600747372577536,-0.0838579278346001,0.639304178977792,-0.902845183194568
12,4,3,0.229518040476281,-0.0239309019962249,0.180624227795419,-0.327828412637486
1,5,3,0.298550615544188,-0.018178639032326,-0.741606774081002,-0.196235773139477
2,5,3,-0.415371729757363,0.0299727506577733,0.3015129527049,0.327375389673558
3,5,3,0.0741896233083099,-0.00784977250889058,-0.284799859439762,0.0570889496650367
4,5,3,-0.0232422313935486,0.00182677937176276,0.00573017836287874,0.00453172653861309
5,5,3,-0.0549332169769687,0.00377933340608201,0.00863645403798972,0.0790417955572974
6,5,3,-0.277263210047695,0.0233054726492271,0.137210999024018,0.234178079554612
7,5,3,0.206253298731251,-0.0200453712276837,0.130230767811126,-0.283756754309117
