ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
1,0,3,0.233534966321466,-0.0185848024107602,-0.554778616533473,-0.062962735384661
2,0,3,0.00484757426117537,-0.00482736046823033,-0.142703395652422,0.228048814460129
3,0,3,0.057721172982365,-0.00824159772875366,-0.161215289171129,0.172959669791706
4,0,3,-0.0280174449319782,0.00256935183786132,0.0914539893553492,-0.118313456568119
5,0,3,0.0180330477681836,-0.00278586410258789,-0.107903578934835,0.137617674452928
6,0,3,0.0440106923868685,-0.00192655851366303,-0.0649422905465445,0.0399696063807238
7,0,3,0.0784429571024303,-0.00750633884014753,-0.00252106204319737,-0.00885960976436962
8,0,3,-0.0562324455253012,0.00433373520998391,-0.0317293926936146,0.140406417370845
9,0,3,-0.0838416784187493,0.00255800302450435,0.410662009172782,-0.341996678333405
10,0,3,-0.0913696684655598,0.00822881603226131,0.011939984054232,0.109981266091014
11,0,3,-0.0442091065776899,0.00671771938254599,0.202779637343421,-0.131465073106577
12,0,3,-0.114865825171172,0.012630076823603,0.00849077400187076,0.138089418679537
1,1,3,-0.264009200019107,0.0239623962435568,0.129187722943496,0.306794807865619
2,1,3,-0.344745528173861,0.0262957062077619,0.15579819904035,0.333897834807194
3,1,3,0.293051006523347,-0.0364389634506482,-0.548176449444209,0.132829200800323
4,1,3,-0.127711135640069,0.0104115491706897,0.132347616042234,0.0842210858695692
5,1,3,-0.263475896718113,0.0235319233643035,0.150286120692333,0.254590891344521
6,1,3,0.00588163680784679,-0.0039191620071945,0.366934159776143,-0.340202045981743
7,1,3,0.287144955078845,-0.0216217654589493,-0.57187124537245,-0.187693121878473
8,1,3,-0.0243920408371394,0.00144066931055379,-0.0399140669650444,0.104716855705594
9,1,3,-0.213339258343601,0.0192061629758529,0.120371621633313,0.260361256601295
10,1,3,-0.170131891587931,0.0113197439292869,0.0551214173075179,0.294235357079595
11,1,3,0.279730369105452,-0.0248739471528771,-0.46978982470811,-0.164091360021016
12,1,3,0.400204254070492,-0.0472142746321319,0.102822783283402,-0.577424493888711
1,2,3,0.235884979302413,-0.020349910385678,-0.308361343682485,-0.211480170154289
2,2,3,0.362407807255081,-0.0352799179894253,-0.829769849206945,-0.0410431953053362
3,2,3,0.444133359591153,-0.0512587398379839,0.0438384152153325,-0.536527906199858
4,2,3,0.284459655099824,-0.0223216147295832,-0.713767790941313,-0.0984317718110693
5,2,3,0.0440006419408499,-0.006146220873534,-0.174772417633058,0.0927647552251762
6,2,3,-0.098623681320838,0.00659851948206481,0.209514378936893,-0.0926031785646996
7,2,3,-0.136674830615923,0.00866424494804027,-0.0301556069552242,0.237663093199024
8,2,3,0.128314726922877,-0.0162513159111899,-0.289927595032911,0.196906060139084
9,2,3,-0.552086766263147,0.0297570603617901,-0.110390869696679,0.767638252249315
10,2,3,0.303816284298788,-0.0356796362724947,0.121365492250513,-0.556959397202216
11,2,3,-0.128301818418173,0.00934754265945734,0.104640774267211,0.0200088270821323
12,2,3,-0.284510462665305,0.0238894482004276,0.135810883017514,0.204386242132374
1,3,3,-0.174604752115351,0.0113513956254048,0.0647908845529959,0.302340642028892
2,3,3,0.0795483411360414,-0.00775053192677285,0.00700244914931298,-0.114200810920785
3,3,3,0.335595326403367,-0.0314265777464101,-0.208704811537027,-0.278132667954099
4,3,3,-0.190642303577923,0.0114701260961841,0.0067916892187334,0.253324173977428
5,3,3,0.232954940824543,-0.0251979868031687,0.168715196852596,-0.372699374379571
6,3,3,-0.339678113604147,0.0278510118354362,0.157512193270331,0.225207238006169
7,3,3,0.0961964580609401,-0.00982744354978317,-0.338492944670384,0.0881383206652584
8,3,3,0.0858900290126672,-0.0134647818725636,-0.240448007826214,0.213697550532963
9,3,3,-0.207897272605534,0.0183307213024487,0.100181984728997,0.176279036716663
10,3,3,0.134537191379664,-0.0116217178365956,-0.184692856820174,-0.0984875357733279
11,3,3,-0.0922434469613844,0.00756686098438073,0.24110742321912,-0.103755556202415
12,3,3,-0.46048977121686,0.0353622869848606,0.20141776138784,0.374589997844692
1,4,3,0.250344113116531,-0.0273281014588569,0.291510607501833,-0.482993380128627
2,4,3,0.670805344388451,-0.0853656751942879,0.139349596407635,-0.722157208243143
3,4,3,-0.273242407098806,0.0228885818106044,0.116621208050212,0.228694363794384
4,4,3,0.0605622641014325,-0.00615580756817971,-0.212963816437434,0.0569734603336289
5,4,3,-0.113210647206824,0.00907884915841537,0.164768756978482,-0.00458111548210208
6,4,3,0.189106647686395,-0.0252890446956977,0.459966186122283,-0.544035086814705
7,4,3,0.0441989687704967,-0.00698180650901525,-0.207651284224211,0.188221456783405
8,4,3,0.0120782250099296,-0.00219522876795609,0.0756593592179788,-0.128942807138537
9,4,3,0.10509270754778,-0.00979937463346816,-0.00711342756910035,-0.0104334537084364
10,4,3,-0.0468094502002884,0.00237349009084903,-0.0793327765280376,0.185351723544051
11,4,3,-0.0627822073516976,0.00408955608200858,-0.0432179234815632,0.168510565632328
12,4,3,0.752413379507003,-0.113271904655945,0.257231488468688,-1.07068980307233
1,5,3,0.568505006128126,-0.0336754696032158,-1.71106840346437,-0.312038205623685
2,5,3,-0.302135137573223,0.0244010413154558,0.192692966448401,0.299620036128976
3,5,3,0.226008484431816,-0.0292133468178368,-0.438285165734455,0.163419995647575
4,5,3,0.249865377701636,-0.0274243812667737,0.113944603000454,-0.38524270871385
