ID,SIM,interval,ETA1,ETA2,ETA3,ETA4
1,0,4,-0.0915137050715007,0.00321933230526772,-0.144649320700525,0.312199189850955
2,0,4,-0.0535005999779534,-0.00711983121535181,-0.0951176463324133,0.406519234591654
3,0,4,0.04427895953477,-0.00887636321383789,-0.289612289736145,0.218412973512195
4,0,4,-0.0671603837872866,0.00428306875925365,-0.062870784952687,0.180537865023756
5,0,4,0.00335902009104486,-0.00298556650961724,-0.17779109739399,0.180669540196381
6,0,4,0.00633516868977461,-0.0045406552962329,-0.15558328948195,0.232954752314436
7,0,4,0.126827667571209,-0.0152080133262288,-0.387827905170682,0.129689755294001
8,0,4,-0.0288624874204356,-0.00175962917888187,-0.0239368310876702,0.259718182535206
9,0,4,-0.0304176318380061,0.00271039056686221,0.0140909097331812,0.0224082805249483
10,0,4,0.0256722894372718,-0.00474968663856405,-0.222365663454999,0.159131337930856
11,0,4,-0.0231503279507117,-0.00133789989112414,-0.0904125899094847,0.22286047203718
12,0,4,0.165832819820121,-0.0177184671255156,-0.369971069539126,0.0619891030408579
1,1,4,-0.145556076450274,0.00578617585537435,-0.0850312193084242,0.396702541842837
2,1,4,-0.0706658406628933,0.00426418586479858,-0.151935476672383,0.215866628418507
3,1,4,0.0806905137435262,-0.0276463289468412,-0.155400888541741,0.486675704825296
4,1,4,-0.0337366849251299,0.00775166972384378,0.402717991874753,-0.328925334928755
5,1,4,-0.113850234795103,0.00261309946124991,-0.137697534198542,0.478187973831563
6,1,4,-0.36716725700118,0.0253717509485182,0.0408796769636108,0.652503715365471
7,1,4,0.129912638887331,-0.0124948177808749,0.0849663268237105,-0.23053253314872
8,1,4,-0.247751754759815,0.0207504422017119,0.153576537681764,0.190865017661609
9,1,4,0.16732374282485,-0.0159086504941976,-0.102101076222312,-0.151073352739472
10,1,4,-0.00716301334539515,0.000419783499774504,-0.0278852762058489,0.0341824136417073
11,1,4,0.185711221603842,-0.0236349451278194,-0.382967384950884,0.146539230652474
12,1,4,-0.471733972542587,0.0333207057244108,0.140140705278112,0.724298488057037
1,2,4,0.00655049626833519,-0.00575364024071917,-0.307289505331286,0.260227723843771
2,2,4,0.556785182422048,-0.029428379509894,-1.30892328787199,-0.509356423822283
3,2,4,0.448687033729644,-0.0475308415432458,-0.940147893738091,-0.0207302428478416
4,2,4,-0.0512547276580603,-0.00496058546485415,-0.268267365325705,0.489356468825017
5,2,4,-0.101955853914799,0.00269236268845878,-0.124345290902561,0.421795024541258
6,2,4,-0.49778633414988,0.0376972090122617,-0.0697539966350653,0.640883195450574
7,2,4,0.31348641125,-0.0240562309964031,-0.592481725314766,-0.213768302567099
8,2,4,-0.796460270062456,0.0414379468533436,0.164812969705132,1.19299009394257
9,2,4,0.371237269632413,-0.0408251931828956,0.0494763195469512,-0.406444853269129
10,2,4,0.135692796593537,-0.0130894372890686,0.0754194126296855,-0.231196230611538
11,2,4,0.0969452573969051,-0.017580475788198,-0.216099103855776,0.271199270168706
12,2,4,-0.561453250295254,0.0407800904456448,0.205792893906409,0.413835267297182
1,3,4,-0.0480475533312011,-0.00136796170402534,-0.207782143714727,0.297622441233793
2,3,4,0.582575013029166,-0.0447350531516073,-0.792621242274749,-0.63418778344753
3,3,4,-0.168943454967199,0.00846816493951752,0.0409052064724829,0.386282062332253
4,3,4,0.326552320559144,-0.0516428793292117,0.867940000377967,-0.937293216802621
5,3,4,-0.035281171801541,-0.00473410665993019,-0.196912105336263,0.396877365266517
6,3,4,0.261780265742538,-0.033620623206386,-0.528149649640531,0.165928743574572
7,3,4,-0.276025816546204,0.0214706889183605,0.182766416683609,0.304608486170504
8,3,4,0.436990665190535,-0.0433562144164683,-0.358372934415122,-0.381076465484825
9,3,4,0.338099116020478,-0.0330010946869435,-0.710087266024743,-0.0361234506111249
10,3,4,-0.208749678993446,0.013309568468607,0.0444241617792485,0.386448976778308
11,3,4,-0.166228904012413,0.0148124316793834,0.16959367418599,0.0229037468629099
12,3,4,-0.00575502198919532,-0.00616758825928582,-0.050012929126414,0.386336874978383
1,4,4,0.235600827115765,-0.0247167838382922,0.244119885235556,-0.455173749222218
2,4,4,0.523558165699476,-0.0448031103902964,-0.506750447648006,-0.607588301128952
3,4,4,0.100005904055699,-0.0230244352631305,-0.289021505680856,0.370200444676599
4,4,4,0.25627698782301,-0.029816545084164,0.248556779581449,-0.450566038951387
5,4,4,0.471253045651324,-0.0612598107258212,0.467452756442098,-0.752856479875413
6,4,4,0.0688278475447232,-0.00699006542059662,0.235793484996554,-0.284365189829748
7,4,4,0.345893548064107,-0.0408309778104938,0.313130475821067,-0.568215073174613
8,4,4,0.0209809417797229,-0.0127892442286542,-0.12369415802457,0.404565870342604
9,4,4,0.280060629039031,-0.0284995793096749,-0.290551978068749,-0.108255868275488
10,4,4,0.192029646261996,-0.0202542198059587,0.193354304558637,-0.359616385332261
11,4,4,0.22148529015277,-0.0217616845259821,-0.381151102743195,-0.0400383454941774
12,4,4,0.462890182786402,-0.0504816265051309,-0.134181887659795,-0.438985404743653
1,5,4,0.092569422631321,-0.00747343106983429,-0.416404852301164,0.0818186504307289
2,5,4,-0.0457491609949792,-0.0065322132271622,-0.13931897687197,0.394943205870866
3,5,4,0.165440400931243,-0.0192862758139306,0.0226210835928705,-0.0995851681810224
4,5,4,0.170690246943562,-0.0188342626680533,0.430670938997774,-0.487978712257699
5,5,4,-0.427993642352261,0.0260846681747043,-0.0274499114427645,0.862704660087895
6,5,4,-0.392336355423549,0.0261168445132323,0.137546215475777,0.69303071111687
7,5,4,0.154387948589353,-0.0150072108510008,0.0799411911419955,-0.257669270410781
8,5,4,-0.432393692741549,0.0343152090262763,0.250295638278701,0.301274796748564
9,5,4,-0.321634184026005,0.0259762980469049,0.262410967180274,0.382303741721998
10,5,4,0.314867983668732,-0.038399012789942,0.3920698946806,-0.581318141735093
11,5,4,0.242569648178516,-0.0237805785048768,-0.118405182151081,-0.235366823047848
12,5,4,-0.118270368943033,0.00721462419101071,0.356841334884845,-0.249697978463062
1,6,4,0.179315306873809,-0.0148375760359168,-0.64104046742121,0.056604063873159
2,6,4,-0.0375124971017231,-0.0128280661984011,-0.100983586303119,0.496873350619926
3,6,4,-0.0873972181693837,0.000793221530228044,-0.0791913847688074,0.318003695560846
4,6,4,-0.469566505152851,0.0367472587545947,0.301608788533791,0.366473592240733
5,6,4,-0.415874609180239,0.0281185778249818,0.130906290838117,0.655043631380358
6,6,4,0.167060056762659,-0.0181640463848707,-0.237910324777531,0.00145641442924008
7,6,4,-0.495685600910011,0.0335535804925498,0.285372790649183,0.623092638860295
8,6,4,0.233550299379951,-0.021139488651055,-0.193536706414026,-0.22976032953474
9,6,4,0.466451719935383,-0.050347000364975,-0.261894149323392,-0.34707221699306
10,6,4,0.0784377112760622,-0.0107140233018646,-0.311664146852985,0.158847959181561
11,6,4,-0.385248662016183,0.030951752043344,0.251382312335048,0.279892152328714
12,6,4,0.0635184126361951,-0.00669670624673907,0.218823223271078,-0.243771835207172
1,7,4,0.545465899129665,-0.0230711550258541,-1.06767130965032,-0.715328236215078
2,7,4,0.673610983301991,-0.0274050268162383,-1.54749257743101,-0.777610639942995
3,7,4,-0.304678715176843,0.0206026325029392,0.171878375399615,0.501984138288358
4,7,4,-0.322567809991707,0.0234505803814922,0.0269101802219172,0.499567326919622
5,7,4,-0.111918187840372,0.00506239973964583,-0.0828298434512503,0.362852317767021
6,7,4,-0.14623049035561,0.000872898571132515,-0.0736772416173499,0.674609678289336
7,7,4,-0.0328895108819418,-0.00128968134269289,-0.146084709390935,0.242956219304145
8,7,4,-0.214279804576605,0.0180095748563416,0.125396520549448,0.220790524225491
9,7,4,0.294874307121079,-0.0338412896212686,0.284980582511754,-0.48072415990777
10,7,4,-0.190782874324723,0.0136891360431986,0.0869305305155277,0.287754389735542
11,7,4,0.317563265774344,-0.031869562017443,-0.183113635116743,-0.289505327870504
12,7,4,0.0271864972312115,-0.00326040427588198,-0.0431468763882393,0.0916091187039489
1,8,4,0.238104770975476,-0.0156054073610489,-0.765364444864669,-0.0469124180832358
2,8,4,0.488209386882563,-0.0350731375322987,-1.17721322174614,-0.268986536684781
3,8,4,-0.00111221280655002,-0.0160554246510717,-0.097848321023287,0.52125966711582
4,8,4,0.236500693149002,-0.0274808581715161,0.275830491423091,-0.446331276067737
5,8,4,0.269754576461644,-0.0304512002081605,-0.246027593716946,-0.13776844700223
6,8,4,-0.32475321947524,0.0239143722290815,-0.0582543992437561,0.580274861970987
7,8,4,-0.281408164283594,0.0228342558506171,0.155333672947407,0.290079314958497
8,8,4,0.176065195229097,-0.0162297349385815,-0.133543017541538,-0.163626149659941
9,8,4,0.231674667430607,-0.0324193505859907,0.505958763941566,-0.617232025604971
10,8,4,0.00760945207301099,-0.00187980876233947,-0.15626464682576,0.117126098485172
11,8,4,-0.0370300747835184,-0.00199464955612247,-0.0523412793715204,0.308412573288937
12,8,4,0.0640466626367857,-0.00913708183375851,0.35195247886386,-0.367611566801274
1,9,4,0.104965554531002,-0.0146599493351899,-0.471941307487339,0.19468270173392
2,9,4,-0.136951530948177,7.20283923376593e-05,-0.00903479917084392,0.506713482998466
3,9,4,0.481068408410835,-0.0390562211563517,-0.850947501419382,-0.337646028973135
4,9,4,0.0069214608363394,-0.000844009618969967,-0.0432806541882559,0.0253484456946118
5,9,4,0.496681922647453,-0.059732220183297,0.0465954118936568,-0.612294299399863
6,9,4,0.27966778345684,-0.0293468654433969,-0.282294915428924,-0.141701744331878
7,9,4,0.418934162721412,-0.0470979064507914,0.146071378440836,-0.579146649952861
8,9,4,0.122944624955844,-0.0133759630948195,0.255022299079595,-0.335539883515384
9,9,4,0.409624713289638,-0.0412877143738247,-0.762712677528082,-0.0644698772979959
10,9,4,-0.161954467290476,0.0114443178447312,0.0227066044862253,0.280713358586355
11,9,4,-0.0876521176116013,0.0043102295657375,-0.0264215057104622,0.263962180649325
12,9,4,0.0491536289438718,-0.0117521413597173,-0.133573483108644,0.306960409389326
1,10,4,-0.196469605174577,0.0138677308202689,0.0704414291653363,0.304023643363564
2,10,4,0.335757668335673,-0.0297219174037439,-0.847157777145535,-0.047473226620718
3,10,4,-0.474122825643583,0.0328170290344744,0.389942803414966,0.596812332530962
4,10,4,-0.202742210667864,0.0172198349362046,0.0794474745584951,0.221706547423773
5,10,4,0.41347088893363,-0.0526026924268205,0.285090207981773,-0.611508588893344
6,10,4,-0.223037036459681,0.018402658455563,0.127074868947533,0.226253098422565
7,10,4,-0.272322823177798,0.0195293766290512,0.188325635201149,0.356477408035952
8,10,4,0.134427710184594,-0.0101837673469054,-0.337183437539503,-0.0601079966025073
9,10,4,0.00481273590776771,-0.0203699722722215,0.570511244294336,-0.625895046187039
